Turbidity,Azimuth,Elevation,Normalization,Mean X,Mean Y,Sigma X,Sigma Y,Weight,Volume,MAE,RMSE
7,90,23,9.5,1.547860659,0.033304228,0.510314667,0.430605103,0.279273835,1,0.002684548,0.003972073
7,90,23,9.5,4.977970686,0.073545381,6,0.149553045,0.093150775,1,0.002684548,0.003972073
7,90,23,9.5,1.567527003,0.264888093,0.227254115,0.21175867,0.164982384,1,0.002684548,0.003972073
7,90,23,9.5,2.759253526,0.111972646,6,0.597314811,0.432791622,1,0.002684548,0.003972073
7,90,23,9.5,1.569342264,0.047889838,0.398144405,0.080442933,0.029801385,1,0.002684548,0.003972073
8,90,23,6.5,1.570867396,0.023340139,0.441029532,0.38800893,0.320273467,1,0.002497882,0.003664719
8,90,23,6.5,1.268642454,0.232548548,1.43473227,0.536921573,0.269899192,1,0.002497882,0.003664719
8,90,23,6.5,8.77E-36,0.094219391,5.237928772,0.103622492,0.060937967,1,0.002497882,0.003664719
8,90,23,6.5,5.498422256,4.33E-39,1.81971448,0.610030706,0.206473364,1,0.002497882,0.003664719
8,90,23,6.5,1.563370416,0.281085415,0.210774605,0.211814544,0.14241601,1,0.002497882,0.003664719
9,90,23,0.5,1.304698465,0.334371159,1.445136289,0.499576986,0.255089605,1,0.001978336,0.002836709
9,90,23,0.5,1.570330774,0.128520045,0.455275604,0.362884141,0.347573721,1,0.001978336,0.002836709
9,90,23,0.5,1.563465788,0.297420347,0.213675733,0.201444673,0.152540273,1,0.001978336,0.002836709
9,90,23,0.5,5.820638816,0.053897006,2.00966131,0.608818443,0.183297555,1,0.001978336,0.002836709
9,90,23,0.5,1.28E-26,0.11664529,4.197705977,0.126906024,0.061498846,1,0.001978336,0.002836709
10,90,26,0.5,1.561306147,0.378034774,0.193890296,0.181227411,0.089128973,1,0.001814176,0.002371135
10,90,26,0.5,1.467914271,0.207414922,0.871256274,0.493935553,0.275691948,1,0.001814176,0.002371135
10,90,26,0.5,1.5737933,0.286700654,0.380580389,0.301393561,0.316090599,1,0.001814176,0.002371135
